t,step,run_id,sat_id,station_id,active,beam,channel,elev_deg,az_deg,range_km,scan_deg,snr_db,sinr_db,inr_db,ber,rain_fade_db,alloc_bw_hz,alloc_power_w,rate_bps,clean_rate_bps,bits_delivered,slewing,session_age_s
80.0,8,52bb211583b2,SAT-301,Guwahati,True,0,0,65.07225057757361,251.24441145948097,655.5968927938817,24.927749422426388,17.090182018004512,13.668166059674341,0.7877583755506435,7.034977317406665e-07,0.5,50000000.0,3.9545454545454546,230058330.68867102,275000000.0,2300583306.88671,False,80.0
80.0,8,52bb211583b2,SAT-302,Guwahati,True,1,0,77.60557462828994,312.94107971556366,613.0461622283345,12.394425371710057,17.085003981050562,13.10014521198637,1.7700065864846117,3.1119793771570154e-06,0.5,50000000.0,3.090909090909091,221037802.44625127,275000000.0,2210378024.462513,False,80.0
80.0,8,52bb211583b2,SAT-304,Guwahati,True,3,0,49.10024387728267,27.726978785289624,769.6721164479313,40.89975612271733,18.521432076660872,13.208059435430252,3.800105531038363,2.379677784034018e-06,0.5,50000000.0,10,222747515.54101342,259634177.1937945,2227475155.4101343,False,80.0
80.0,8,52bb211583b2,SAT-305,Guwahati,True,2,0,37.12207074118359,32.64766963200157,928.8070675922178,52.87792925881641,15.35110869159351,8.062182791354038,6.391518344236457,0.005704204144578162,0.5,50000000.0,10,144381766.14107144,209066122.16380545,1443817661.4107144,False,30.0
90.0,9,52bb211583b2,SAT-001,Delhi,False,,,69.98136688994727,203.0686074557291,634.9745225646604,20.018633110052733,21.149669583437685,21.149669583437685,-300.0,1.7555014154819498e-30,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
90.0,9,52bb211583b2,SAT-001,Ahmedabad-SAC,True,1,0,41.79696521639871,40.73708109678202,856.2865060435663,48.20303478360129,14.99191031629293,8.13349496108409,5.8558644395331685,0.005373949423571884,3.0,50000000.0,10,145407316.35356933,203441981.04645154,1454073163.5356932,False,90.0
90.0,9,52bb211583b2,SAT-002,Delhi,True,0,0,82.10852031717728,105.04424439939194,605.2363589831417,7.89147968282272,18.36888390113745,15.612311799800766,-0.5232040758117402,7.990430736788487e-10,0.0,50000000.0,2.2272727272727275,261269300.60183904,275000000.0,2612693006.01839,False,90.0
90.0,9,52bb211583b2,SAT-002,Ahmedabad-SAC,False,,,31.725979824052523,40.766859227683,1034.884110229474,58.27402017594748,7.6739232892220315,7.6739232892220315,-300.0,0.00777443795881792,3.0,50000000.0,5,0.0,138838742.69586,0.0,False,0.0
90.0,9,52bb211583b2,SAT-004,Delhi,True,2,0,47.570442637412484,50.7788451493837,785.5537776742857,42.429557362587516,16.832796232647482,9.541475683985508,6.394462461064,0.001351351935570692,0.0,50000000.0,3.9545454545454546,166082212.47052565,275000000.0,1660822124.7052565,False,90.0
90.0,9,52bb211583b2,SAT-005,Delhi,True,3,0,35.87131758749679,48.26905655015962,951.0281161878179,54.12868241250321,17.79274702031799,11.360907977458917,5.311310625289552,0.00010836675916028807,0.0,50000000.0,10,193789730.68478987,247890404.93128157,1937897306.8478987,False,90.0
