network,profile,beams_per_station,n_sats,policy,oracle_gbit,pct_optimal,wall_s,throughput_mbps,delivered_gbit,completion_rate,mean_wait_s,mean_latency_s,beam_utilization,peak_beam_utilization,station_utilization,sla_compliance,fairness,drop_rate,dropped_gbit,handovers,reacquisitions,mean_decision_ms,p50_decision_ms,p99_decision_ms,max_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers
india8,congested,4,80,horizon/urgency,1728.6252336966518,100.29690823917522,6.086167699992075,288.95961073999325,1733.7576644399594,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10791666666666666,0.65,0.3342857715651106,0.18998264658053898,406.6380408137117,22,22,0.3978673334737929,0.32959999225568026,1.2150999973528087,1.3370000087888911,44.76260227272731,38.73228043974318,0,0.0,0
india8,congested,4,80,horizon/sla,1728.6252336966518,100.29690823917522,6.088409000003594,288.95961073999325,1733.7576644399594,0.825,224.0,96.21212121212122,0.03171875,0.1875,0.10791666666666666,0.65,0.3342857715651106,0.18998264658053898,406.6380408137117,22,22,0.3932491664454574,0.32360000477638096,1.1559999984456226,1.6163999971468002,44.76260227272731,38.73228043974318,0,0.0,0
india8,congested,1,80,fcfs/strongest,1728.6252336966518,99.77885266576224,5.635491100008949,287.46707084556175,1724.8024250733704,0.8125,295.625,123.07692307692308,0.123125,0.625,0.123125,0.6375,0.3348685866269351,0.19416656422932138,415.5932801803006,25,25,0.043902000228020675,0.04020000051241368,0.10849999671336263,0.18280000949744135,40.630847727272766,42.450564572287426,0,0.0,0
india8,congested,1,80,ljf/strongest,1728.6252336966518,99.77885266576224,5.627355599994189,287.46707084556175,1724.8024250733704,0.8125,297.5,125.38461538461539,0.123125,0.625,0.123125,0.6375,0.3348685866269351,0.19416656422932138,415.5932801803006,25,25,0.04402016648479427,0.039700011257082224,0.10730000212788582,0.14819999341852963,40.97509318181824,42.0939231893855,0,0.0,0
india8,congested,1,80,sjf/strongest,1728.6252336966518,99.6197667085291,5.6965942999959225,287.0087375122284,1722.0524250733704,0.8125,291.75,118.15384615384616,0.12291666666666666,0.625,0.12291666666666666,0.6375,0.33527644467802276,0.19545137338552088,418.3432801803006,24,24,0.043241000166744925,0.0388999906135723,0.10559998918324709,0.1762999891070649,40.590118181818234,42.4254104745312,0,0.0,0
india8,congested,1,80,edf/strongest,1728.6252336966518,99.74765498280459,5.728842999989865,287.37718900890593,1724.2631340534358,0.8,362.5,114.84375,0.12333333333333334,0.625,0.12333333333333334,0.625,0.33493778501965077,0.19441852278941893,416.1325712002353,24,24,0.044051833295573786,0.038699989090673625,0.10250000923406333,0.19269999756943434,41.20804090909095,41.8428805644348,0,0.0,0
india8,congested,1,80,priority/strongest,1728.6252336966518,99.74765498280459,5.724768500003847,287.37718900890593,1724.2631340534358,0.8,362.5,114.84375,0.12333333333333334,0.625,0.12333333333333334,0.625,0.33493778501965077,0.19441852278941893,416.1325712002353,24,24,0.044203833191810794,0.03880000440403819,0.10180000390391797,0.1373999984934926,41.20804090909095,41.8428805644348,0,0.0,0
india8,congested,1,80,priority/least_loaded,1728.6252336966518,99.74765498280459,5.7204741000023205,287.37718900890593,1724.2631340534358,0.8,362.5,114.84375,0.12333333333333334,0.625,0.12333333333333334,0.625,0.33493778501965077,0.19441852278941893,416.1325712002353,24,24,0.04443283326205953,0.03960001049563289,0.10760000441223383,0.14139999984763563,41.20804090909095,41.8428805644348,0,0.0,0
india8,congested,1,80,hungarian/throughput,1728.6252336966518,99.77885266576224,5.618257599999197,287.46707084556175,1724.8024250733704,0.8125,294.625,121.84615384615384,0.123125,0.625,0.123125,0.6375,0.3348685866269351,0.19416656422932138,415.5932801803006,24,24,0.053459666499596395,0.05119999696034938,0.10240000847261399,0.14850001025479287,40.50914318181823,42.57810187028383,0,0.0,0
india8,congested,1,80,mip,1728.6252336966518,99.77885266576224,5.711772299997392,287.46707084556175,1724.8024250733704,0.8125,294.625,121.84615384615384,0.123125,0.625,0.123125,0.6375,0.3348685866269351,0.19416656422932138,415.5932801803006,24,24,0.22025333368219435,0.07489998824894428,1.693599988357164,2.843499998562038,40.50914318181823,42.57810187028383,0,0.0,0
india8,congested,1,80,horizon/throughput,1728.6252336966518,99.74592242970657,6.10725359999924,287.372197450566,1724.233184703396,0.8,362.75,115.3125,0.12354166666666666,0.625,0.12354166666666666,0.625,0.3349466529981051,0.19443251522547456,416.16252055027485,19,19,0.0560256668056051,0.051700000767596066,0.15669999993406236,0.22329999774228781,42.87035454545454,40.21970900369456,0,0.0,0
india8,congested,1,80,horizon/urgency,1728.6252336966518,99.74592242970657,6.309180700001889,287.372197450566,1724.233184703396,0.8,362.75,115.3125,0.12354166666666666,0.625,0.12354166666666666,0.625,0.3349466529981051,0.19443251522547456,416.16252055027485,19,19,0.40071183337810606,0.3330000035930425,1.1196999985259026,1.513900002464652,42.87035454545454,40.21970900369456,0,0.0,0
india8,congested,1,80,horizon/sla,1728.6252336966518,99.74592242970657,6.291569499997422,287.372197450566,1724.233184703396,0.8,362.75,115.3125,0.12354166666666666,0.625,0.12354166666666666,0.625,0.3349466529981051,0.19443251522547456,416.16252055027485,19,19,0.4008866666117683,0.32730000384617597,1.1648000072455034,1.5167999954428524,42.87035454545454,40.21970900369456,0,0.0,0
global6,congested,1,80,fcfs/strongest,1464.1383830264494,99.90549399493224,4.401752899997518,243.7924473886646,1462.7546843319876,0.7375,655.5,390.50847457627117,0.1486111111111111,0.5,0.1486111111111111,0.6125,0.34874477678649574,0.3165961411987473,677.6410209216835,8,8,0.041627500468166545,0.038699989090673625,0.09899999713525176,0.15219999477267265,44.940406818181856,32.548763749512624,0,0.0,0
global6,congested,1,80,ljf/strongest,1464.1383830264494,99.96440146032613,4.421373799996218,243.93619519054795,1463.6171711432876,0.725,681.0,394.6551724137931,0.14888888888888888,0.5,0.14888888888888888,0.6125,0.34119820382059296,0.3161931844888347,676.7785341103836,8,8,0.0411879998864606,0.03710000601131469,0.1016000023810193,0.13529999705497175,44.66439545454549,32.76921485778971,0,0.0,0
global6,congested,1,80,sjf/strongest,1464.1383830264494,99.90379434415009,4.467913200001931,243.78829984875142,1462.7297990925085,0.7375,653.375,387.6271186440678,0.1486111111111111,0.5,0.1486111111111111,0.6125,0.34819233392210197,0.3166077676654879,677.6659061611626,8,8,0.04061650016713732,0.03750000905711204,0.09610000415705144,0.15190000704023987,44.96631590909096,32.5294560944181,0,0.0,0
global6,congested,1,80,edf/strongest,1464.1383830264494,99.9377176802433,4.461375200000475,243.87108061284206,1463.2264836770523,0.7375,654.0,388.47457627118644,0.1486111111111111,0.5,0.1486111111111111,0.6125,0.3423954203411106,0.31637571497386435,677.169221576619,8,8,0.041515333335458614,0.03809999907389283,0.09169999975711107,0.12560001050587744,44.646665909090956,32.7734771204743,0,0.0,0
global6,congested,1,80,priority/strongest,1464.1383830264494,99.90379434415009,4.433127099997364,243.78829984875142,1462.7297990925085,0.7375,654.0,388.47457627118644,0.1486111111111111,0.5,0.1486111111111111,0.6125,0.34819233392210197,0.3166077676654879,677.6659061611626,8,8,0.04094833352913459,0.037999998312443495,0.08669999078847468,0.11989999620709568,44.897268181818234,32.57948330328171,0,0.0,0
global6,congested,1,80,priority/least_loaded,1464.1383830264494,99.90379434415009,4.522760000007111,243.78829984875142,1462.7297990925085,0.7375,654.0,388.47457627118644,0.1486111111111111,0.5,0.1486111111111111,0.6125,0.34819233392210197,0.3166077676654879,677.6659061611626,8,8,0.044102499862977616,0.040000013541430235,0.0926000066101551,0.13669999316334724,44.897268181818234,32.57948330328171,0,0.0,0
global6,congested,1,80,hungarian/throughput,1464.1383830264494,99.93045860276312,5.103799500007881,243.8533667895686,1463.1202007374116,0.725,679.375,392.41379310344826,0.14888888888888888,0.5,0.14888888888888888,0.6125,0.34797205821004096,0.31642537071713644,677.2755045162596,8,8,0.06425883329939097,0.06079999729990959,0.13000000035390258,0.21490000654011965,44.93222727272732,32.562823824793725,0,0.0,0
global6,congested,1,80,mip,1464.1383830264494,99.93045860276312,5.025339899992105,243.8533667895686,1463.1202007374116,0.725,679.375,392.41379310344826,0.14888888888888888,0.5,0.14888888888888888,0.6125,0.34797205821004096,0.31642537071713644,677.2755045162596,8,8,0.23187200000393204,0.06329998723231256,1.8702999950619414,2.7500000142026693,44.93222727272732,32.562823824793725,0,0.0,0
global6,congested,1,80,horizon/throughput,1464.1383830264494,99.96440146032613,4.693007599998964,243.93619519054795,1463.6171711432876,0.725,681.0,394.6551724137931,0.14888888888888888,0.5,0.14888888888888888,0.6125,0.34119820382059296,0.3161931844888347,676.7785341103836,8,8,0.04504933322702224,0.036600002204068005,0.13050000416114926,0.2052000054391101,44.66439545454549,32.76921485778971,0,0.0,0
global6,congested,1,80,horizon/urgency,1464.1383830264494,99.96440146032613,4.709022700000787,243.93619519054795,1463.6171711432876,0.725,681.0,394.6551724137931,0.14888888888888888,0.5,0.14888888888888888,0.6125,0.34119820382059296,0.3161931844888347,676.7785341103836,8,8,0.21683116702964372,0.19800000882241875,0.5355000030249357,0.6882000016048551,44.66439545454549,32.76921485778971,0,0.0,0
global6,congested,1,80,horizon/sla,1464.1383830264494,99.96440146032613,4.777708000008715,243.93619519054795,1463.6171711432876,0.725,681.0,394.6551724137931,0.14888888888888888,0.5,0.14888888888888888,0.6125,0.34119820382059296,0.3161931844888347,676.7785341103836,8,8,0.22193600016180426,0.19690000044647604,0.5548999906750396,0.6925999914528802,44.66439545454549,32.76921485778971,0,0.0,0
