target_elev_deg,achieved_elev_deg,weather_state,power_allocator,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
30.0,29.95971279656218,clear,adaptive,2,480.0,1.0,1.0,1.2715657552083334e-16,0.0,0.14875,1.0,0.0037883333789068274,14.605454545454641,32.86443420888812,0,0.0,0,0.05149700000038138
30.0,29.95971279656218,light_rain,fixed,0,480.0,1.0,1.0,1.5894571940104167e-17,0.0,0.21375,0.9999999999999997,0.0037495833642727425,13.025,36.85220729366603,0,0.0,0,0.054475599999932456
30.0,29.95971279656218,light_rain,fixed,1,480.0,1.0,1.0,1.1126200358072918e-16,0.0,0.21375,1.0000000000000002,0.004070833324476553,13.025,36.85220729366603,0,0.0,0,0.05648440000004484
30.0,29.95971279656218,light_rain,fixed,2,480.0,1.0,1.0,1.7484029134114582e-16,0.0,0.21333333333333335,1.0000000000000002,0.0038087500191371264,13.0,36.92307692307692,0,0.0,0,0.05433429999902728
30.0,29.95971279656218,light_rain,adaptive,0,480.0,1.0,1.0,4.76837158203125e-17,0.0,0.18375,1.0,0.003752083360571608,22.45,21.380846325167038,0,0.0,0,0.05334290000064357
30.0,29.95971279656218,light_rain,adaptive,1,480.0,1.0,1.0,4.76837158203125e-17,0.0,0.18416666666666667,0.9999999999999999,0.003833333365340271,22.5,21.333333333333332,0,0.0,0,0.053783999999723164
30.0,29.95971279656218,light_rain,adaptive,2,480.00000000000006,1.0,1.0,1.5894571940104167e-17,0.0,0.18375,1.0000000000000002,0.0039020833128233785,22.45,21.38084632516704,0,0.0,0,0.054366700000173296
30.0,29.95971279656218,heavy_rain,fixed,0,245.83267363202285,0.0,1.0,0.4878485965999524,428.125,0.1925,0.9997475567629913,0.006818750011916563,11.55,21.284214167274705,0,0.0,0,0.07833389999905194
30.0,29.95971279656218,heavy_rain,fixed,1,245.4521928338782,0.0,1.0,0.4886412649294204,430.625,0.19208333333333333,0.9996708039617899,0.0069079167133168085,11.525,21.29737031096557,0,0.0,0,0.07829990000027465
30.0,29.95971279656218,heavy_rain,fixed,2,244.86307823813436,0.0,1.0,0.48986858700388675,433.125,0.19166666666666668,0.9993038012563006,0.006778333370978847,11.5,21.292441585924728,0,0.0,0,0.07777380000152334
30.0,29.95971279656218,heavy_rain,adaptive,0,337.06535623464214,0.0,1.0,0.2977805078444955,428.125,0.1925,0.9998059162190569,0.006966666675604453,23.1,14.59157386297152,0,0.0,0,0.07997129999967001
30.0,29.95971279656218,heavy_rain,adaptive,1,336.5377375316358,0.0,1.0,0.2988797134757587,430.625,0.19208333333333333,0.9997465137294803,0.006844583314583966,23.05,14.600335684669666,0,0.0,0,0.07948750000105065
30.0,29.95971279656218,heavy_rain,adaptive,2,335.7712053626032,0.0,1.0,0.3004766554945767,433.125,0.19166666666666668,0.9994586944763116,0.0068704166551469825,23.0,14.598748059243619,0,0.0,0,0.07991210000000137
30.0,29.95971279656218,storm,fixed,0,139.44639091809148,0.0,1.0,0.7094866855873094,465.625,0.14375,0.9992539274143731,0.00760708329986907,8.625,16.167697497749735,0,0.0,0,0.08109500000136904
30.0,29.95971279656218,storm,fixed,1,138.7520653766364,0.0,1.0,0.7109331971320076,466.875,0.1425,0.9992045023018781,0.0076879166044818694,8.55,16.228311739957473,0,0.0,0,0.08150660000137577
30.0,29.95971279656218,storm,fixed,2,138.7867821484554,0.0,1.0,0.7108608705240511,469.375,0.14333333333333334,0.9984985375014248,0.0075362499652934884,8.6,16.137997924239,0,0.0,0,0.08150550000027579
30.0,29.95971279656218,storm,adaptive,0,201.7821887276138,0.0,1.0,0.5796204401508045,465.625,0.14375,0.9993767869896639,0.007444583335806479,17.25,11.697518187108047,0,0.0,0,0.08178760000009788
30.0,29.95971279656218,storm,adaptive,1,200.6997298745062,0.0,1.0,0.5818755627614454,466.875,0.1425,0.999370405158184,0.007508750013585086,17.1,11.736826308450654,0,0.0,0,0.08186830000158807
30.0,29.95971279656218,storm,adaptive,2,200.9035359892534,0.0,1.0,0.5814509666890554,469.375,0.14333333333333334,0.9988473118529774,0.007321666619949004,17.2,11.680438138910082,0,0.0,0,0.07951670000147715
30.0,29.95971279656218,extreme,fixed,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.007951666718023869,0.0,0.0,0,0.0,0,0.07548820000010892
30.0,29.95971279656218,extreme,fixed,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00796374998420409,0.0,0.0,0,0.0,0,0.07527140000092913
30.0,29.95971279656218,extreme,fixed,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008327500078545805,0.0,0.0,0,0.0,0,0.07701089999864053
30.0,29.95971279656218,extreme,adaptive,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008643749993098027,0.0,0.0,0,0.0,0,0.08312929999920016
30.0,29.95971279656218,extreme,adaptive,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008122500040978291,0.0,0.0,0,0.0,0,0.07744740000089223
30.0,29.95971279656218,extreme,adaptive,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.008017083268896386,0.0,0.0,0,0.0,0,0.07600910000110161
40.0,39.97485151835689,clear,fixed,0,480.0,1.0,1.0,7.947285970052083e-17,0.0,0.16,1.0,0.0036320833335897382,9.8,48.97959183673469,0,0.0,0,0.049251300000833
