severity_pct,station_mtbf_s,station_mttr_s,scheduler,n_satellites,n_stations,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
60.0,200.0,300.0,mip,40,4,1,327.721991395604,0.275,0.275,0.7495537519242669,1136.0,0.013020833333333334,0.29256076596819575,0.1744798333190071,6.793749999999991,48.23874758352963,8,2165.0,0,1.3057095000003756
60.0,200.0,300.0,mip,40,4,2,569.9891662050205,0.375,0.35,0.5241955589864739,1418.25,0.022708333333333334,0.3230475201942548,0.15084950002953215,11.6425,48.95762647240889,5,3480.0,0,1.3973870000008901
80.0,74.99999999999997,300.0,fcfs/strongest,40,4,0,209.68885513054735,0.3,0.275,0.7958029103912287,712.75,0.007604166666666667,0.17292070231479195,0.02942616668709282,4.244999999999995,49.396667875276236,6,2460.0,0,0.8156703999993624
80.0,74.99999999999997,300.0,fcfs/strongest,40,4,1,308.5134792245528,0.275,0.275,0.7642329615307706,1144.0,0.011979166666666667,0.23117389903343238,0.02941350000583043,6.293749999999994,49.01902351134905,10,2016.6666666666667,0,0.7227953999990859
80.0,74.99999999999997,300.0,fcfs/strongest,40,4,2,287.34663380893846,0.275,0.2,0.7601343804710088,1619.25,0.011666666666666667,0.2682776960673332,0.030075500032277585,6.143249999999995,46.77436760817787,9,3083.3333333333335,0,0.8467908999991778
80.0,74.99999999999997,300.0,mip,40,4,0,209.68885513054735,0.3,0.275,0.7958029103912287,712.75,0.007604166666666667,0.17292070231479195,0.14862400000614193,4.244999999999995,49.396667875276236,6,2460.0,0,0.8644071999988228
80.0,74.99999999999997,300.0,mip,40,4,1,308.5134792245528,0.275,0.275,0.7642329615307706,1144.0,0.011979166666666667,0.23117389903343238,0.1962193333444399,6.293749999999994,49.01902351134905,10,2016.6666666666667,0,0.9048010999995313
80.0,74.99999999999997,300.0,mip,40,4,2,287.34663380893846,0.275,0.2,0.7601343804710088,1619.25,0.011666666666666667,0.2682776960673332,0.1696325000042028,6.143249999999995,46.77436760817787,9,3083.3333333333335,0,0.9432881000011548
100.0,,,fcfs/strongest,40,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.034951500019815285,0.0,0.0,0,0.0,0,0.32983729999978095
100.0,,,fcfs/strongest,40,4,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.031570166662883516,0.0,0.0,0,0.0,0,0.2887260999996215
100.0,,,fcfs/strongest,40,4,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03285799994046101,0.0,0.0,0,0.0,0,0.2946942000016861
100.0,,,mip,40,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1335786666337905,0.0,0.0,0,0.0,0,0.35698799999954645
100.0,,,mip,40,4,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.12769466667123197,0.0,0.0,0,0.0,0,0.3412084000010509
100.0,,,mip,40,4,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1274906666518897,0.0,0.0,0,0.0,0,0.33918249999987893
