world,regime,policy,delivered_gbit,completion_rate,weighted_met,n_met,n_partial,n_rejected,fairness,wall_s,n_quotes,optimal
1,C-severe,oracle/throughput,344.5426842453741,0.2727272727272727,0.3333333333333333,3,6,2,0.7587888519888126,0.004449600004591048,0,True
1,C-severe,oracle/priority,342.2144444230811,0.5454545454545454,0.7142857142857143,6,4,1,0.7030085455583075,0.019317700003739446,0,True
2,0-trivial,fcfs,320.5085612606829,1.0,1.0,13,0,0,1.0,0.00141050000092946,13,
2,0-trivial,edf,320.5085612606829,1.0,1.0,13,0,0,1.0,0.0016872000123839825,13,
2,0-trivial,tier-deadline,320.5085612606829,1.0,1.0,13,0,0,1.0,0.0017516000079922378,13,
2,0-trivial,deadline-tier,320.5085612606829,1.0,1.0,13,0,0,1.0,0.0025707999884616584,13,
2,0-trivial,density,320.5085612606829,1.0,1.0,13,0,0,1.0,0.002218900015577674,13,
2,0-trivial,slack,320.5085612606829,1.0,1.0,13,0,0,1.0,0.014818399999057874,91,
2,0-trivial,oppcost,320.5085612606829,1.0,1.0,13,0,0,1.0,0.027724600018700585,182,
2,0-trivial,ratio,320.5085612606829,1.0,1.0,13,0,0,1.0,0.03161790000740439,91,
2,0-trivial,w_avail,320.5085612606829,1.0,1.0,13,0,0,1.0,0.028944299992872402,91,
2,0-trivial,oracle/throughput,320.5085612606829,1.0,1.0,13,0,0,1.0,0.019950699992477894,0,True
2,0-trivial,oracle/priority,320.5085612606829,1.0,1.0,13,0,0,1.0,0.008062100008828565,0,True
2,A-slack,fcfs,800.8260026882127,0.6666666666666666,0.5833333333333334,8,4,0,0.9423633372268992,0.0030199000029824674,12,
2,A-slack,edf,798.093359610444,0.6666666666666666,0.7083333333333334,8,4,0,0.9735697470371921,0.0019614000048022717,12,
2,A-slack,tier-deadline,798.093359610444,0.6666666666666666,0.7083333333333334,8,4,0,0.9735697470371921,0.00206979998620227,12,
2,A-slack,deadline-tier,798.093359610444,0.6666666666666666,0.7083333333333334,8,4,0,0.9735697470371921,0.0020135999948251992,12,
2,A-slack,density,798.0933596104439,0.6666666666666666,0.7083333333333334,8,4,0,0.9735697470371921,0.03230890000122599,12,
2,A-slack,slack,774.6541988545621,0.8333333333333334,0.7916666666666666,10,2,0,0.9318872668618925,0.010484800004633144,78,
2,A-slack,oppcost,811.009597971015,0.8333333333333334,0.7916666666666666,10,2,0,0.9294648840554078,0.01963729999260977,137,
2,A-slack,ratio,774.6541988545621,0.8333333333333334,0.7916666666666666,10,2,0,0.9318872668618925,0.021871000004466623,78,
2,A-slack,w_avail,774.6541988545621,0.8333333333333334,0.7916666666666666,10,2,0,0.9318872668618925,0.026728700002422556,78,
2,A-slack,oracle/throughput,824.5034659658211,0.5,0.4583333333333333,6,6,0,0.9727123530127186,0.00903490002383478,0,True
2,A-slack,oracle/priority,801.2299068042985,0.8333333333333334,0.7916666666666666,10,2,0,0.9610823279957686,0.21074000000953674,0,True
2,B-real,fcfs,933.3593021238096,0.08333333333333333,0.08333333333333333,1,10,1,0.8073275868546709,0.00178089999826625,12,
2,B-real,edf,910.1124218805545,0.08333333333333333,0.08333333333333333,1,11,0,0.912897883578912,0.001714100013487041,12,
2,B-real,tier-deadline,910.1124218805544,0.08333333333333333,0.08333333333333333,1,11,0,0.912897883578912,0.0028122000221628696,12,
2,B-real,deadline-tier,910.1124218805545,0.08333333333333333,0.08333333333333333,1,11,0,0.912897883578912,0.002129400003468618,12,
2,B-real,density,911.27517102866,0.08333333333333333,0.08333333333333333,1,11,0,0.9102122080560807,0.0015296000055968761,12,
2,B-real,slack,933.3593021238095,0.08333333333333333,0.08333333333333333,1,10,1,0.8073275868546709,0.012402799999108538,78,
2,B-real,oppcost,933.3593021238095,0.08333333333333333,0.08333333333333333,1,10,1,0.8073275868546709,0.011924699996598065,79,
2,B-real,ratio,933.3593021238095,0.08333333333333333,0.08333333333333333,1,10,1,0.8073275868546709,0.010881499998504296,78,
2,B-real,w_avail,933.3593021238095,0.08333333333333333,0.08333333333333333,1,10,1,0.8073275868546709,0.014031500002602115,78,
2,B-real,oracle/throughput,954.9554333762638,0.08333333333333333,0.08333333333333333,1,11,0,0.8961199620523255,0.004456099995877594,0,True
2,B-real,oracle/priority,954.9542568848732,0.08333333333333333,0.08333333333333333,1,11,0,0.9139365627711825,0.1023847000033129,0,True
2,C-severe,fcfs,933.3593021238096,0.08333333333333333,0.08333333333333333,1,10,1,0.8056486423472736,0.0027144000050611794,12,
