stage,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
baseline,13,1770.9190001885954,0.0,0.0,0.7822294064317785,1067.0,0.10316666666666667,0.9996242721239038,0.01855233334329872,61.89,28.61397641280652,0,0.0,0,0.5162876000013057
baseline,14,1805.5353858535987,0.0,0.0,0.7612912204784744,1079.0,0.10325,0.9996386643399748,0.01843366660371733,61.94,29.149747914975762,0,0.0,0,0.5118483999995078
+adaptive_power,0,1914.0317723600563,0.0,0.0,0.7589632718178176,1078.5,0.10308333333333333,0.9993838582014771,0.01639633333979873,63.21841590909126,30.276490557948396,0,0.0,0,0.5014153000010992
+adaptive_power,1,1907.90173543211,0.0,0.0,0.7772274872985008,1075.0,0.10308333333333333,0.9994078427541347,0.01759633337011716,63.848827272727654,29.881547037388575,0,0.0,0,0.5110045000001264
+adaptive_power,2,1899.0677466922202,0.0,0.0,0.7667399620098257,1076.0,0.103,0.9990605045952563,0.021930666686481953,64.0251909090913,29.661258634725304,0,0.0,0,0.5905913999995391
+adaptive_power,3,1925.7045950870836,0.0,0.0,0.7744898638908385,1084.0,0.103,0.9991953961618932,0.018222333280088304,63.921554545454924,30.12606011822985,0,0.0,0,0.5240740999997797
+adaptive_power,4,1960.326645636622,0.0,0.0,0.7428432680312825,1073.5,0.10308333333333333,0.999501636062045,0.017906999958844,63.80616363636402,30.72315484768316,0,0.0,0,0.5202260000005481
+adaptive_power,5,1919.9233100583942,0.0,0.0,0.7538647807302128,1077.0,0.10316666666666667,0.9992238062776982,0.01814066671310381,64.07837272727312,29.962110901752567,0,0.0,0,0.5098746000003302
+adaptive_power,6,1916.2829691775796,0.0,0.0,0.750451492813467,1067.0,0.10325,0.9995064658992737,0.020341333347460022,63.48806818181855,30.183356086527716,0,0.0,0,0.5795450000005076
+adaptive_power,7,1862.0391453544978,0.0,0.0,0.7588468334709275,1069.5,0.10325,0.9994204584126932,0.01907333338749595,63.34915227272763,29.393276445723206,0,0.0,0,0.5501605999997992
+adaptive_power,8,1919.6482928965704,0.0,0.0,0.7450123219875153,1067.0,0.10291666666666667,0.9993191073481703,0.019968999974177375,64.0898000000004,29.95247750650741,0,0.0,0,0.5497279000010167
+adaptive_power,9,1939.2569144815425,0.0,0.0,0.7391198348632156,1077.5,0.10308333333333333,0.9992828569108217,0.025680999939747078,64.0040227272731,30.298984842638575,0,0.0,0,0.6663788999994722
+adaptive_power,10,1891.2265483838228,0.0,0.0,0.7469461773590647,1076.0,0.10333333333333333,0.9991023794605515,0.018777666585568415,63.906750000000365,29.593533521636008,0,0.0,0,0.5471148999986326
+adaptive_power,11,1951.0801027393086,0.0,0.0,0.7597202723291978,1071.5,0.10316666666666667,0.999439190287569,0.021014666654082248,63.87110000000039,30.547150475556187,0,0.0,0,0.5692379999982222
+adaptive_power,12,1877.0398098277265,0.0,0.0,0.7638474202637994,1072.5,0.10325,0.9994046081297432,0.01736633328619064,63.28856818181854,29.658433801745574,0,0.0,0,0.5171427000004769
+adaptive_power,13,1870.8239658324087,0.0,0.0,0.7699440542127616,1067.0,0.10316666666666667,0.9992652199224293,0.017356000001503464,62.826359090909456,29.777691925857663,0,0.0,0,0.5032590000009804
+adaptive_power,14,1922.655293969996,0.0,0.0,0.7458068657861286,1079.0,0.10325,0.9993629665602106,0.017266999966523144,64.12629545454584,29.98232285744336,0,0.0,0,0.5125523999995494
+handover,0,1923.1006029114983,0.0,0.0,0.7578212211600781,1078.5,0.10308333333333333,0.99940842981835,0.018852999952893395,60.29045454545484,31.89726495529426,0,0.0,20,0.5789072000006854
+handover,1,1917.3788214267136,0.0,0.0,0.7761209134006432,1075.0,0.10308333333333333,0.9993358959528629,0.016533666657778667,60.040000000000276,31.93502367466197,0,0.0,20,0.558411600000909
+handover,2,1907.7223483279154,0.0,0.0,0.7656769284714762,1076.0,0.103,0.9989155472410074,0.017485000050025217,60.09545454545481,31.7448692710188,0,0.0,20,0.5799354999999196
+handover,3,1935.351253176648,0.0,0.0,0.7733601894930487,1084.0,0.103,0.998932801157995,0.01682366659224499,60.950454545454825,31.7528600501794,0,0.0,20,0.5705717999990156
+handover,4,1972.7419617678202,0.0,0.0,0.7412146200048101,1073.5,0.10308333333333333,0.9994241071627057,0.020936999996289764,61.63772727272759,32.00542993804844,0,0.0,20,0.6262335999999777
+handover,5,1930.294121061844,0.0,0.0,0.7525352370828354,1077.0,0.10316666666666667,0.9990670882859821,0.019645666689029895,60.6840909090912,31.808899040006263,0,0.0,20,0.6095601999986684
+handover,6,1926.5196391047166,0.0,0.0,0.7491184194939378,1067.0,0.10325,0.9994706319247743,0.017677999973481445,60.23136363636393,31.985323306570542,0,0.0,20,0.5628319999996165
+handover,7,1869.4395914345644,0.0,0.0,0.7578883998040588,1069.5,0.10325,0.9993992425470019,0.018965333371549303,58.84090909090938,31.77108614257259,0,0.0,20,0.6152242999996815
+handover,8,1930.0742630176094,0.0,0.0,0.743627436057093,1067.0,0.10291666666666667,0.999286632978443,0.01970566664264576,60.634545454545766,31.83126464540705,0,0.0,20,0.6428675999995903
+handover,9,1949.6746012155302,0.0,0.0,0.737718386805864,1077.5,0.10308333333333333,0.9992150712107062,0.017837999967014184,61.07636363636394,31.921916845336277,0,0.0,20,0.5814786999999342
+handover,10,1899.862579036407,0.0,0.0,0.7457906412489417,1076.0,0.10333333333333333,0.9990086252433223,0.01778499995149711,60.13272727272757,31.594485485744222,0,0.0,20,0.597567999999228
+handover,11,1963.3901096839322,0.0,0.0,0.7582042683926463,1071.5,0.10316666666666667,0.9994588975767608,0.018693666649293544,61.38363636363671,31.98556204869988,0,0.0,20,0.6160427999984677
+handover,12,1885.809471614147,0.0,0.0,0.7627440988300002,1072.5,0.10325,0.9993911321348629,0.022185999981350808,59.34181818181847,31.778761241123103,0,0.0,20,0.6456178999997064
+handover,13,1879.4230093131205,0.0,0.0,0.7688866265140843,1067.0,0.10316666666666667,0.9992349661402821,0.019730666717805434,58.810000000000294,31.957541392843243,0,0.0,20,0.6445074000002933
+handover,14,1932.3359152585886,0.0,0.0,0.7445269964958807,1079.0,0.10325,0.9992527105936899,0.01861366659189419,61.03454545454575,31.659708462933615,0,0.0,20,0.6094911000000138
+weather,0,1141.3602762145324,0.0,0.0,0.8562668861464904,1105.5,0.07933333333333334,0.999916526558847,0.02089399999628464,67.32909090909104,16.951963271799077,0,0.0,0,0.5986955999997008
+weather,1,1142.463738231709,0.0,0.0,0.8666023973301835,1100.0,0.07933333333333334,0.9998923285109091,0.019315333229315,67.30318181818194,16.97488450572886,0,0.0,0,0.595603799998571
+weather,2,1141.063596981773,0.0,0.0,0.8598446324809755,1101.0,0.07916666666666666,0.9999003954154926,0.01813799998368874,67.14636363636376,16.993676726282448,0,0.0,0,0.5509628999989218
