sweep_type,bandwidth_mhz,bandwidth_allocator,num_beams,n_beams_total,scheduler,n_satellites,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,starvation_pct,wall_time_s
bandwidth,100,lp,4,8,fcfs/strongest,80,1,679.788309334042,0.3625,0.3,0.7302679761034018,560.875,0.6177083333333333,0.2594700626927355,0.12400583332995059,30.375,22.379862035688625,0,0.0,0,0.0,1.2617136000008031
bandwidth,100,lp,4,8,fcfs/strongest,80,2,678.4778478308733,0.3875,0.2875,0.7095385894775976,582.0,0.6130208333333333,0.28358591454748744,0.12935125001452738,30.2,22.466153901684546,0,0.0,0,0.0,1.2720136000007187
bandwidth,50,equal,4,8,fcfs/strongest,80,0,378.385753565054,0.3,0.1875,0.82321691608879,619.375,0.6140625,0.24095478004652635,0.13183875000019424,30.075,12.58140493981892,0,0.0,0,0.0,1.094761099999232
bandwidth,50,equal,4,8,fcfs/strongest,80,1,383.8934203778864,0.2375,0.225,0.847675595744569,620.4375,0.6234375,0.27115702951678516,0.1323804167062311,30.4,12.628073038746264,0,0.0,0,0.0,1.11126780000086
bandwidth,50,equal,4,8,fcfs/strongest,80,2,387.23351747922436,0.2125,0.175,0.8342224524379692,665.4375,0.628125,0.2768194796721955,0.15223458331850753,30.575,12.66503736645051,0,0.0,0,0.0,1.1913743000004615
bandwidth,50,lp,4,8,fcfs/strongest,80,0,377.35823027338176,0.3,0.175,0.8236969783918257,623.5625,0.6140625,0.20238676120991245,0.14431416671717062,30.075,12.547239576837299,0,0.0,0,0.0,1.341591000000335
bandwidth,50,lp,4,8,fcfs/strongest,80,1,381.3691577896715,0.2375,0.2125,0.8486771935176061,632.125,0.6234375,0.22600639054635882,0.15207541667526434,30.4,12.545038085186562,0,0.0,0,0.0,1.4476625999996031
bandwidth,50,lp,4,8,fcfs/strongest,80,2,386.0109079773488,0.2,0.1625,0.8347458606547123,681.0,0.6291666666666667,0.22755698112975326,0.16894791669225623,30.6,12.614735554815319,0,0.0,0,0.0,1.5189064999995026
beams,500,equal,1,2,fcfs/strongest,80,0,274.9402436305785,0.0875,0.0625,0.8715470027548042,788.9375,0.63125,0.0600095982873976,0.17687416667134434,7.75,35.47616046846174,0,0.0,0,0.25,1.2549211000005016
beams,500,equal,1,2,fcfs/strongest,80,1,277.5113534419453,0.1,0.0875,0.8898867515219394,770.375,0.6333333333333333,0.07871749328405248,0.16993166667210366,7.8,35.578378646403245,0,0.0,0,0.2625,1.2167124999996304
beams,500,equal,1,2,fcfs/strongest,80,2,279.69105045175223,0.15,0.1375,0.8802621820529078,749.5,0.625,0.10642774141270794,0.17206999995475297,7.8,35.85782698099388,0,0.0,0,0.25,1.2311353000004601
beams,500,equal,1,2,mip,80,0,309.9136632334149,0.1,0.0875,0.8552073046714109,777.125,0.6270833333333333,0.058994513128206576,0.06291416662710012,7.725,40.11827355772362,0,0.0,0,0.85,1.180618999998842
beams,500,equal,1,2,mip,80,1,317.6549922523259,0.125,0.125,0.8739582267235273,753.25,0.6270833333333333,0.07845699185684914,0.059511666593910675,7.775,40.85594755656924,0,0.0,0,0.8375,1.150505499999781
beams,500,equal,1,2,mip,80,2,338.52404741512083,0.1625,0.15,0.8550753386830408,737.9375,0.6229166666666667,0.10683951426426078,0.06568458333428377,7.8,43.40051889937447,0,0.0,0,0.8125,1.1353041000002122
beams,500,equal,2,4,fcfs/strongest,80,0,546.4863250418645,0.3625,0.2,0.7446797693994172,648.1875,0.6072916666666667,0.12224300935123285,0.15937833334949875,15.3,35.71806046025258,0,0.0,0,0.0125,1.1559519999991608
beams,500,equal,2,4,fcfs/strongest,80,1,560.4204722301452,0.3,0.2625,0.7776317330967163,637.9375,0.6208333333333333,0.14301929854549073,0.14734041675789436,15.5,36.15615949871904,0,0.0,0,0.0375,1.1596232000010787
beams,500,equal,2,4,fcfs/strongest,80,2,569.0901920893491,0.225,0.2125,0.7563682580983221,683.375,0.6270833333333333,0.16201965437428087,0.15165374993557634,15.5,36.715496263828975,0,0.0,0,0.0625,1.1684181000000535
beams,500,equal,2,4,mip,80,0,629.0497395137149,0.1875,0.1625,0.7061058672610434,701.6875,0.61875,0.11856188030016146,0.11431583326763455,15.225,41.31689586296979,0,0.0,0,0.7125,1.2267608000001928
beams,500,equal,2,4,mip,80,1,624.3006814192007,0.2625,0.25,0.7522848157183017,649.5,0.6083333333333333,0.14904258883872776,0.11576166659021207,15.125,41.27607811036038,0,0.0,0,0.675,1.1422480000001087
beams,500,equal,2,4,mip,80,2,640.810620283256,0.3,0.2625,0.7256642096123267,646.0625,0.6166666666666667,0.17006542424476695,0.1336358332916158,15.4,41.61107923917246,0,0.0,0,0.6375,1.1939891999991232
beams,500,equal,4,8,fcfs/strongest,80,0,1147.3817893958421,0.7125,0.55,0.46393940775551185,390.9375,0.5901041666666667,0.2952852658506733,0.10214375002609206,29.75,38.567455105742596,0,0.0,0,0.0,0.9606497999993735
beams,500,equal,4,8,fcfs/strongest,80,1,1138.8815527321397,0.5375,0.4375,0.5481051645358782,468.3125,0.6088541666666667,0.2580411552427167,0.11607583333746636,30.3,37.586849925153125,0,0.0,0,0.0,1.042779800000062
beams,500,equal,4,8,fcfs/strongest,80,2,1130.7772339210944,0.6125,0.5,0.5159058598576162,459.5,0.6010416666666667,0.3183683491077997,0.12079791674750595,30.075,37.59857801898901,0,0.0,0,0.0,1.046003200000996
beams,500,equal,4,8,mip,80,0,1197.8500925928845,0.5625,0.5,0.4403604484662712,444.5,0.5802083333333333,0.2739210487331774,0.2334108333570839,28.975,41.34081423961637,0,0.0,0,0.3,1.0235768999991706
beams,500,equal,4,8,mip,80,1,1223.5683004266791,0.425,0.3875,0.5145024568411157,500.8125,0.5984375,0.2604940696875141,0.20710916663423026,29.575,41.37170922829008,0,0.0,0,0.45,1.0744379999996454
beams,500,equal,4,8,mip,80,2,1208.4435813022383,0.4875,0.45,0.48265631916506085,483.6875,0.5963541666666666,0.30920787072549827,0.21271000002040336,29.6,40.82579666561615,0,0.0,0,0.35,1.041675899999973
beams,500,equal,8,16,fcfs/strongest,80,0,2075.454564539721,0.925,0.875,0.03034071716484474,119.5625,0.49270833333333336,0.4025067106848273,0.047157083281490486,49.15,42.22694943112352,0,0.0,0,0.0,0.7159675000002608
beams,500,equal,8,16,fcfs/strongest,80,1,2207.4646885762095,0.875,0.75,0.12410391594812002,175.9375,0.5317708333333333,0.46906444674065517,0.05930124993180168,52.8,41.80804334424639,0,0.0,0,0.0,0.7915993999995408
beams,500,equal,8,16,fcfs/strongest,80,2,2117.6834207699676,0.875,0.8375,0.09340398451729405,182.6875,0.5044270833333333,0.49827467430186695,0.060183333281808395,50.175,42.20594759880354,0,0.0,0,0.0,0.7760416999990412
beams,500,equal,8,16,mip,80,0,2070.0148567104943,0.925,0.875,0.03288216677431392,119.4375,0.49114583333333334,0.4026393196534823,0.282889166677099,49.0,42.24520115735703,0,0.0,0,0.0,0.7750758000001952
beams,500,equal,8,16,mip,80,1,2214.533540026453,0.85,0.7875,0.12129907864492133,182.5,0.5375,0.46214738487991397,0.36863750005977636,53.3,41.54847167028993,0,0.0,0,0.0,0.8936613999994734
beams,500,equal,8,16,mip,80,2,2129.1881051591586,0.9,0.8125,0.08847874360341189,180.375,0.50703125,0.49109161664485673,0.3302254166783314,50.475,42.18302338106307,0,0.0,0,0.0,0.8612522999992507
bandwidth_hetero,500,equal,4,4,fcfs/strongest,4,0,240.00000000000006,1.0,1.0,0.0,0.0,0.21041666666666667,1.0000000000000002,0.0015391665935264125,2.79,86.02150537634411,0,0.0,0,0.0,0.018825299999662093
bandwidth_hetero,500,lp,4,4,fcfs/strongest,4,0,240.00000000000006,1.0,1.0,0.0,0.0,0.21041666666666667,1.0000000000000002,0.001812083291952149,2.79,86.02150537634411,0,0.0,0,0.0,0.053890499999397434
bandwidth_hetero,100,equal,4,4,fcfs/strongest,4,0,192.37223305324397,0.0,1.0,0.19844902894481672,812.5,0.3229166666666667,0.9939401220110791,0.0043524999531049016,4.61,41.72933471870802,0,0.0,0,0.0,0.04291840000041702
bandwidth_hetero,100,lp,4,4,fcfs/strongest,4,0,166.6707212638551,0.5,1.0,0.30553866140060376,403.75,0.253125,0.8377744097108166,0.0038483332900796086,2.985,55.83608752557961,0,0.0,0,0.0,0.07937879999917641
bandwidth_hetero,50,equal,4,4,fcfs/strongest,4,0,102.72377033599221,0.0,1.0,0.5719842902666991,812.5,0.3229166666666667,0.9992513356819811,0.004395416772240424,4.61,22.282813521907205,0,0.0,0,0.0,0.04313230000116164
bandwidth_hetero,50,lp,4,4,fcfs/strongest,4,0,101.0210703757521,0.25,1.0,0.5790788734343664,608.75,0.29375,0.5836975231348087,0.004426666616078971,3.935,25.672444822300406,0,0.0,0,0.0,0.0921784000001935
bandwidth_hetero,20,equal,4,4,fcfs/strongest,4,0,42.68940083404521,0.0,1.0,0.8221274965248115,812.5,0.3229166666666667,0.9997143593825178,0.0043291665861033835,4.61,9.260173716712625,0,0.0,0,0.0,0.043019400000048336
bandwidth_hetero,20,lp,4,4,fcfs/strongest,4,0,42.85949002949806,0.0,1.0,0.8214187915437582,812.5,0.3229166666666667,0.30146347387443534,0.004878750003930084,4.61,9.297069420715413,0,0.0,0,0.0,0.10380799999984447
