congestion_level,congestion_mult,n_satellites,n_stations,n_beams_total,scheduler,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,starvation_pct,wall_time_s
2x,2,40,2,4,priority/strongest,1,575.6996794832389,0.4,0.25,0.5600483686462997,560.625,0.6104166666666667,0.2973314333003788,0.043247499987349634,15.05,38.2524703975574,0,0.0,0,0.4,0.5179735000001529
2x,2,40,2,4,priority/strongest,2,568.4859493756002,0.5,0.475,0.5254503850176536,482.125,0.6041666666666666,0.30446887321056987,0.038827916682748764,15.0,37.899063291706675,0,0.0,0,0.25,0.4845106999991913
2x,2,40,2,4,hungarian/throughput,0,614.3471289032472,0.4,0.4,0.40174266460920494,551.875,0.5885416666666666,0.22384112844046444,0.015236249949642417,14.525,42.29584364222011,0,0.0,0,0.475,0.5020504999993136
2x,2,40,2,4,hungarian/throughput,1,604.1706564271374,0.4,0.35,0.5382907523072649,531.25,0.5958333333333333,0.2731657162865999,0.015381666696612228,14.7,41.10004465490731,0,0.0,0,0.45,0.49976040000001376
2x,2,40,2,4,hungarian/throughput,2,609.773751233516,0.525,0.475,0.4909849589210867,464.375,0.5916666666666667,0.30001048819315457,0.015663333347977943,14.725,41.41078106849005,0,0.0,0,0.35,0.4748768999997992
2x,2,40,2,4,mip,0,613.8011453084284,0.5,0.475,0.4022743488561656,515.0,0.5822916666666667,0.22970153801451018,0.08489833334503297,14.475,42.4042242009277,0,0.0,0,0.425,0.5239125999996759
2x,2,40,2,4,mip,1,604.1706564271374,0.4,0.35,0.5382907523072649,531.25,0.5958333333333333,0.2731657162865999,0.06394833330508239,14.7,41.10004465490731,0,0.0,0,0.45,0.5275062999999136
2x,2,40,2,4,mip,2,609.7312140928412,0.55,0.5,0.4910204672458778,458.125,0.590625,0.3001089650794961,0.07122541665770163,14.725,41.40789229832538,0,0.0,0,0.35,0.4836326000004192
4x,4,80,2,4,fcfs/strongest,0,546.4863250418645,0.3625,0.2,0.7446797693994172,648.1875,0.6072916666666667,0.12224300935123285,0.14299874995913342,15.3,35.71806046025258,0,0.0,0,0.0125,1.0934112000004461
4x,4,80,2,4,fcfs/strongest,1,560.4204722301452,0.3,0.2625,0.7776317330967163,637.9375,0.6208333333333333,0.14301929854549073,0.1347570833483284,15.5,36.15615949871904,0,0.0,0,0.0375,1.0776331999995818
4x,4,80,2,4,fcfs/strongest,2,569.0901920893491,0.225,0.2125,0.7563682580983221,683.375,0.6270833333333333,0.16201965437428087,0.141496250015886,15.5,36.715496263828975,0,0.0,0,0.0625,1.1063868000001094
4x,4,80,2,4,edf/strongest,0,600.5395912051471,0.2625,0.175,0.7194259034761177,679.3125,0.6145833333333334,0.11177493517287697,0.14192083336865835,15.275,39.31519418691634,0,0.0,0,0.55,1.103137300000526
4x,4,80,2,4,edf/strongest,1,594.4223446736585,0.225,0.125,0.764140189119669,675.6875,0.6260416666666667,0.13327413017954873,0.13855666668784275,15.475,38.41178317761929,0,0.0,0,0.575,1.1003271999998105
4x,4,80,2,4,edf/strongest,2,598.8245821361072,0.2625,0.15,0.7436387446711459,668.5,0.625,0.14502526538022267,0.14407583334256438,15.525,38.571631699588224,0,0.0,0,0.6125,1.1190284000003885
4x,4,80,2,4,priority/strongest,0,596.6902177825442,0.3125,0.175,0.7212243435557506,652.375,0.6114583333333333,0.11222361054969274,0.139314166672951,15.3,38.999360639381976,0,0.0,0,0.5125,1.0878005999993547
4x,4,80,2,4,priority/strongest,1,603.4293510346035,0.225,0.1,0.760566314691956,687.4375,0.6260416666666667,0.1381492187774254,0.14463833332077533,15.475,38.99381912986129,0,0.0,0,0.5875,1.1147725999999238
4x,4,80,2,4,priority/strongest,2,592.1734656528381,0.225,0.175,0.746486137082638,682.5625,0.6270833333333333,0.14386905168097622,0.14151375002029454,15.5,38.20473971953794,0,0.0,0,0.5875,1.116115400000126
4x,4,80,2,4,hungarian/throughput,0,628.8059155507267,0.1875,0.1625,0.70621978262837,701.6875,0.61875,0.11847308570998154,0.02520750001243262,15.225,41.30088115275709,0,0.0,0,0.7125,1.106548799999473
4x,4,80,2,4,hungarian/throughput,1,625.8193305220618,0.25,0.225,0.7516822335754805,657.9375,0.609375,0.1492706654483786,0.025383333358301268,15.125,41.37648466261566,0,0.0,0,0.6875,1.0766607000005024
4x,4,80,2,4,hungarian/throughput,2,640.810620283256,0.3,0.2625,0.7256642096123267,646.0625,0.6166666666666667,0.17006542424476695,0.024676666718429868,15.4,41.61107923917246,0,0.0,0,0.6375,1.0479604000001927
4x,4,80,2,4,mip,0,629.0497395137149,0.1875,0.1625,0.7061058672610434,701.6875,0.61875,0.11856188030016146,0.10042666665034024,15.225,41.31689586296979,0,0.0,0,0.7125,1.1167571999994834
4x,4,80,2,4,mip,1,624.3006814192007,0.2625,0.25,0.7522848157183017,649.5,0.6083333333333333,0.14904258883872776,0.10554958334978437,15.125,41.27607811036038,0,0.0,0,0.675,1.0813747000001968
4x,4,80,2,4,mip,2,640.810620283256,0.3,0.2625,0.7256642096123267,646.0625,0.6166666666666667,0.17006542424476695,0.1011712500030626,15.4,41.61107923917246,0,0.0,0,0.6375,1.069845100000748
6x,6,120,2,4,fcfs/strongest,0,548.4081805423093,0.19166666666666668,0.13333333333333333,0.8361650412068492,726.25,0.61875,0.08814285763024886,0.304148749982384,15.425,35.55320457324533,0,0.0,0,0.14166666666666666,1.7382891000006566
6x,6,120,2,4,fcfs/strongest,1,552.5097788034358,0.125,0.1,0.8543642034415366,761.1666666666666,0.6322916666666667,0.09759001610123517,0.32305583332193544,15.55,35.5311754857515,0,0.0,0,0.1,1.7887079000001904
6x,6,120,2,4,fcfs/strongest,2,560.0931959334084,0.175,0.175,0.8216586959665383,725.4583333333334,0.6270833333333333,0.1263165095752611,0.2982524999803597,15.575,35.961039867313545,0,0.0,0,0.08333333333333333,1.7140164000002187
6x,6,120,2,4,edf/strongest,0,605.7593582158845,0.2,0.08333333333333333,0.8190315844783276,721.625,0.6208333333333333,0.0965849710835252,0.3051900000324773,15.5,39.081248917153836,0,0.0,0,0.6916666666666667,1.7522061999998186
6x,6,120,2,4,edf/strongest,1,587.4145328484979,0.15833333333333333,0.11666666666666667,0.8451636754978705,738.0416666666666,0.628125,0.09118983657824545,0.29875666667370143,15.55,37.77585420247574,0,0.0,0,0.675,1.7293577000000369
6x,6,120,2,4,edf/strongest,2,593.7052957994675,0.19166666666666668,0.1,0.8109561454536255,733.625,0.6229166666666667,0.09715662890398134,0.29852749999766576,15.525,38.24188700801723,0,0.0,0,0.7,1.7209188999995604
6x,6,120,2,4,priority/strongest,0,607.6685852542989,0.15833333333333333,0.125,0.8184612098116769,732.8333333333334,0.6270833333333333,0.08228372295898284,0.3059533333347038,15.525,39.141293736186725,0,0.0,0,0.7166666666666667,1.7236664000001838
6x,6,120,2,4,priority/strongest,1,615.5159637225443,0.15,0.08333333333333333,0.8377564323561516,751.0,0.6291666666666667,0.10169233396984213,0.3185424999818073,15.55,39.58302017508323,0,0.0,0,0.725,1.8041002999998454
6x,6,120,2,4,priority/strongest,2,592.4722492517318,0.16666666666666666,0.10833333333333334,0.811348764272875,744.6666666666666,0.6270833333333333,0.09953847358673705,0.30826250001988836,15.55,38.1011092766387,0,0.0,0,0.7166666666666667,1.752116799999385
6x,6,120,2,4,hungarian/throughput,0,627.1949605318956,0.125,0.11666666666666667,0.8126277758796355,742.0416666666666,0.628125,0.08575493297344329,0.033969166664367854,15.45,40.5951430764981,0,0.0,0,0.8083333333333333,1.7020516000002317
